employee_id,snapshot_record_year,date_hired,date_terminated,age,years_employed,job_title,gender,status_year,employee_status
1323,2009-12-31,1989-08-31,,47,20,"Exec Assistant, VP Stores",M,2009,ACTIVE
1323,2010-12-31,1989-08-31,,48,21,"Exec Assistant, VP Stores",M,2010,ACTIVE
1323,2011-12-31,1989-08-31,,49,22,"Exec Assistant, VP Stores",M,2011,ACTIVE
1323,2012-12-31,1989-08-31,,50,23,"Exec Assistant, VP Stores",M,2012,ACTIVE
1323,2013-12-31,1989-08-31,,51,24,"Exec Assistant, VP Stores",M,2013,ACTIVE
1323,2014-12-31,1989-08-31,,52,25,"Exec Assistant, VP Stores",M,2014,ACTIVE
1323,2015-12-31,1989-08-31,,53,26,"Exec Assistant, VP Stores",M,2015,ACTIVE
1325,2006-12-31,1989-09-02,,42,17,"Exec Assistant, Legal Counsel",F,2006,ACTIVE
1325,2007-12-31,1989-09-02,,43,18,"Exec Assistant, Legal Counsel",F,2007,ACTIVE
1325,2008-12-31,1989-09-02,,44,19,"Exec Assistant, Legal Counsel",F,2008,ACTIVE
1325,2009-12-31,1989-09-02,,45,20,"Exec Assistant, Legal Counsel",F,2009,ACTIVE
1325,2010-12-31,1989-09-02,,46,21,"Exec Assistant, Legal Counsel",F,2010,ACTIVE
1325,2011-12-31,1989-09-02,,47,22,"Exec Assistant, Legal Counsel",F,2011,ACTIVE
1325,2012-12-31,1989-09-02,,48,23,"Exec Assistant, Legal Counsel",F,2012,ACTIVE
1325,2013-12-31,1989-09-02,,49,24,"Exec Assistant, Legal Counsel",F,2013,ACTIVE
1325,2014-12-31,1989-09-02,,50,25,"Exec Assistant, Legal Counsel",F,2014,ACTIVE
1325,2015-12-31,1989-09-02,,51,26,"Exec Assistant, Legal Counsel",F,2015,ACTIVE
1328,2006-12-31,1989-09-05,,50,17,CHief Information Officer,F,2006,ACTIVE
1328,2007-12-31,1989-09-05,,51,18,CHief Information Officer,F,2007,ACTIVE
1328,2008-12-31,1989-09-05,,52,19,CHief Information Officer,F,2008,ACTIVE
1328,2009-12-31,1989-09-05,,53,20,CHief Information Officer,F,2009,ACTIVE
1328,2010-12-31,1989-09-05,,54,21,CHief Information Officer,F,2010,ACTIVE
1328,2011-12-31,1989-09-05,,55,22,CHief Information Officer,F,2011,ACTIVE
1328,2012-12-31,1989-09-05,,56,23,CHief Information Officer,F,2012,ACTIVE
1328,2013-12-31,1989-09-05,,57,24,CHief Information Officer,F,2013,ACTIVE
1328,2014-12-31,1989-09-05,,58,25,CHief Information Officer,F,2014,ACTIVE
1328,2015-12-31,1989-09-05,,59,26,CHief Information Officer,F,2015,ACTIVE
1329,2006-12-31,1989-09-08,,39,17,Store Manager,F,2006,ACTIVE
1329,2007-12-31,1989-09-08,,40,18,Store Manager,F,2007,ACTIVE
1329,2008-12-31,1989-09-08,,41,19,Store Manager,F,2008,ACTIVE
1329,2009-12-31,1989-09-08,,42,20,Store Manager,F,2009,ACTIVE
1329,2010-12-31,1989-09-08,,43,21,Store Manager,F,2010,ACTIVE
1329,2011-12-31,1989-09-08,,44,22,Store Manager,F,2011,ACTIVE
1329,2012-12-31,1989-09-08,,45,23,Store Manager,F,2012,ACTIVE
1329,2013-12-31,1989-09-08,,46,24,Store Manager,F,2013,ACTIVE
1329,2014-12-31,1989-09-08,,47,25,Store Manager,F,2014,ACTIVE
1329,2015-12-31,1989-09-08,,48,26,Store Manager,F,2015,ACTIVE
1330,2006-12-31,1989-09-09,,39,17,Meats Manager,F,2006,ACTIVE
1330,2007-12-31,1989-09-09,,40,18,Meats Manager,F,2007,ACTIVE
1330,2008-12-31,1989-09-09,,41,19,Meats Manager,F,2008,ACTIVE
1330,2009-12-31,1989-09-09,,42,20,Meats Manager,F,2009,ACTIVE
1330,2010-12-31,1989-09-09,,43,21,Meats Manager,F,2010,ACTIVE
1330,2011-12-31,1989-09-09,,44,22,Meats Manager,F,2011,ACTIVE
1330,2012-12-31,1989-09-09,,45,23,Meats Manager,F,2012,ACTIVE
1330,2013-12-31,1989-09-09,,46,24,Meats Manager,F,2013,ACTIVE
1330,2014-12-31,1989-09-09,,47,25,Meats Manager,F,2014,ACTIVE
1330,2015-12-31,1989-09-09,,48,26,Meats Manager,F,2015,ACTIVE
1331,2006-12-31,1989-09-10,,41,17,Store Manager,F,2006,ACTIVE
1331,2007-12-31,1989-09-10,,42,18,Store Manager,F,2007,ACTIVE
1331,2008-12-31,1989-09-10,,43,19,Store Manager,F,2008,ACTIVE
1331,2009-12-31,1989-09-10,,44,20,Store Manager,F,2009,ACTIVE
1331,2010-12-31,1989-09-10,,45,21,Store Manager,F,2010,ACTIVE
1331,2011-12-31,1989-09-10,,46,22,Store Manager,F,2011,ACTIVE
1331,2012-12-31,1989-09-10,,47,23,Store Manager,F,2012,ACTIVE
1331,2013-12-31,1989-09-10,,48,24,Store Manager,F,2013,ACTIVE
1331,2014-12-31,1989-09-10,,49,25,Store Manager,F,2014,ACTIVE
1331,2015-12-31,1989-09-10,,50,26,Store Manager,F,2015,ACTIVE
1332,2006-12-31,1989-09-15,,51,17,"Exec Assistant, Human Resources",F,2006,ACTIVE
1332,2007-12-31,1989-09-15,,52,18,"Exec Assistant, Human Resources",F,2007,ACTIVE
1332,2008-12-31,1989-09-15,,53,19,"Exec Assistant, Human Resources",F,2008,ACTIVE
1332,2009-12-31,1989-09-15,,54,20,"Exec Assistant, Human Resources",F,2009,ACTIVE
1332,2010-12-31,1989-09-15,,55,21,"Exec Assistant, Human Resources",F,2010,ACTIVE
1332,2011-12-31,1989-09-15,,56,22,"Exec Assistant, Human Resources",F,2011,ACTIVE
1332,2012-12-31,1989-09-15,,57,23,"Exec Assistant, Human Resources",F,2012,ACTIVE
1332,2013-12-31,1989-09-15,,58,24,"Exec Assistant, Human Resources",F,2013,ACTIVE
1332,2014-12-31,1989-09-15,,59,25,"Exec Assistant, Human Resources",F,2014,ACTIVE
1332,2015-12-31,1989-09-15,,60,26,"Exec Assistant, Human Resources",F,2015,ACTIVE
1334,2006-12-31,1989-09-15,,45,17,"Exec Assistant, Finance",M,2006,ACTIVE
1334,2007-12-31,1989-09-15,,46,18,"Exec Assistant, Finance",M,2007,ACTIVE
1334,2008-12-31,1989-09-15,,47,19,"Exec Assistant, Finance",M,2008,ACTIVE
1334,2009-12-31,1989-09-15,,48,20,"Exec Assistant, Finance",M,2009,ACTIVE
1334,2010-12-31,1989-09-15,,49,21,"Exec Assistant, Finance",M,2010,ACTIVE
1334,2011-12-31,1989-09-15,,50,22,"Exec Assistant, Finance",M,2011,ACTIVE
1334,2012-12-31,1989-09-15,,51,23,"Exec Assistant, Finance",M,2012,ACTIVE
1334,2013-12-31,1989-09-15,,52,24,"Exec Assistant, Finance",M,2013,ACTIVE
1334,2014-12-31,1989-09-15,,53,25,"Exec Assistant, Finance",M,2014,ACTIVE
1334,2015-12-31,1989-09-15,,54,26,"Exec Assistant, Finance",M,2015,ACTIVE
1335,2006-12-31,1989-09-16,,44,17,"Director, Recruitment",F,2006,ACTIVE
1335,2007-12-31,1989-09-16,,45,18,"Director, Recruitment",F,2007,ACTIVE
1335,2008-12-31,1989-09-16,,46,19,"Director, Recruitment",F,2008,ACTIVE
1335,2009-12-31,1989-09-16,,47,20,"Director, Recruitment",F,2009,ACTIVE
1335,2010-12-31,1989-09-16,,48,21,"Director, Recruitment",F,2010,ACTIVE
1335,2011-12-31,1989-09-16,,49,22,"Director, Recruitment",F,2011,ACTIVE
1335,2012-12-31,1989-09-16,,50,23,"Director, Recruitment",F,2012,ACTIVE
1335,2013-12-31,1989-09-16,,51,24,"Director, Recruitment",F,2013,ACTIVE
1335,2014-12-31,1989-09-16,,52,25,"Director, Recruitment",F,2014,ACTIVE
1335,2015-12-31,1989-09-16,,53,26,"Director, Recruitment",F,2015,ACTIVE
1338,2006-12-31,1989-09-20,2009-02-16,57,17,"Director, Training",M,2006,ACTIVE
1338,2007-12-31,1989-09-20,2009-02-16,58,18,"Director, Training",M,2007,ACTIVE
1338,2008-12-31,1989-09-20,2009-02-16,59,19,"Director, Training",M,2008,ACTIVE
1339,2006-12-31,1989-09-22,2014-02-19,57,17,Store Manager,F,2006,ACTIVE
1339,2007-12-31,1989-09-22,2014-02-19,58,18,Store Manager,F,2007,ACTIVE
1339,2008-12-31,1989-09-22,2014-02-19,59,19,Store Manager,F,2008,ACTIVE
1339,2009-12-31,1989-09-22,2014-02-19,60,20,Store Manager,F,2009,ACTIVE
1339,2010-12-31,1989-09-22,2014-02-19,61,21,Store Manager,F,2010,ACTIVE
1339,2011-12-31,1989-09-22,2014-02-19,62,22,Store Manager,F,2011,ACTIVE
1339,2012-12-31,1989-09-22,2014-02-19,63,23,Store Manager,F,2012,ACTIVE
1339,2013-12-31,1989-09-22,2014-02-19,64,24,Store Manager,F,2013,ACTIVE
1340,2006-12-31,1989-09-22,2009-02-19,57,17,Store Manager,M,2006,ACTIVE
1340,2007-12-31,1989-09-22,2009-02-19,58,18,Store Manager,M,2007,ACTIVE
1340,2008-12-31,1989-09-22,2009-02-19,59,19,Store Manager,M,2008,ACTIVE
1341,2006-12-31,1989-09-23,2009-02-21,57,17,"Director, Labor Relations",M,2006,ACTIVE
1341,2007-12-31,1989-09-23,2009-02-21,58,18,"Director, Labor Relations",M,2007,ACTIVE
1341,2008-12-31,1989-09-23,2009-02-21,59,19,"Director, Labor Relations",M,2008,ACTIVE
1343,2006-12-31,1989-09-25,2014-02-24,57,17,Store Manager,F,2006,ACTIVE
1343,2007-12-31,1989-09-25,2014-02-24,58,18,Store Manager,F,2007,ACTIVE
1343,2008-12-31,1989-09-25,2014-02-24,59,19,Store Manager,F,2008,ACTIVE
1343,2009-12-31,1989-09-25,2014-02-24,60,20,Store Manager,F,2009,ACTIVE
1343,2010-12-31,1989-09-25,2014-02-24,61,21,Store Manager,F,2010,ACTIVE
1343,2011-12-31,1989-09-25,2014-02-24,62,22,Store Manager,F,2011,ACTIVE
1343,2012-12-31,1989-09-25,2014-02-24,63,23,Store Manager,F,2012,ACTIVE
1343,2013-12-31,1989-09-25,2014-02-24,64,24,Store Manager,F,2013,ACTIVE
1344,2006-12-31,1989-09-25,2014-02-25,57,17,"Director, HR Technology",F,2006,ACTIVE
1344,2007-12-31,1989-09-25,2014-02-25,58,18,"Director, HR Technology",F,2007,ACTIVE
1344,2008-12-31,1989-09-25,2014-02-25,59,19,"Director, HR Technology",F,2008,ACTIVE
1344,2009-12-31,1989-09-25,2014-02-25,60,20,"Director, HR Technology",F,2009,ACTIVE
1344,2010-12-31,1989-09-25,2014-02-25,61,21,"Director, HR Technology",F,2010,ACTIVE
1344,2011-12-31,1989-09-25,2014-02-25,62,22,"Director, HR Technology",F,2011,ACTIVE
1344,2012-12-31,1989-09-25,2014-02-25,63,23,"Director, HR Technology",F,2012,ACTIVE
1344,2013-12-31,1989-09-25,2014-02-25,64,24,"Director, HR Technology",F,2013,ACTIVE
1346,2006-12-31,1989-09-29,2014-03-04,57,17,"Director, Employee Records",F,2006,ACTIVE
1346,2007-12-31,1989-09-29,2014-03-04,58,18,"Director, Employee Records",F,2007,ACTIVE
1346,2008-12-31,1989-09-29,2014-03-04,59,19,"Director, Employee Records",F,2008,ACTIVE
1346,2009-12-31,1989-09-29,2014-03-04,60,20,"Director, Employee Records",F,2009,ACTIVE
1346,2010-12-31,1989-09-29,2014-03-04,61,21,"Director, Employee Records",F,2010,ACTIVE
1346,2011-12-31,1989-09-29,2014-03-04,62,22,"Director, Employee Records",F,2011,ACTIVE
1346,2012-12-31,1989-09-29,2014-03-04,63,23,"Director, Employee Records",F,2012,ACTIVE
1346,2013-12-31,1989-09-29,2014-03-04,64,24,"Director, Employee Records",F,2013,ACTIVE
1347,2006-12-31,1989-09-29,2009-03-04,57,17,Meats Manager,M,2006,ACTIVE
1347,2007-12-31,1989-09-29,2009-03-04,58,18,Meats Manager,M,2007,ACTIVE
1347,2008-12-31,1989-09-29,2009-03-04,59,19,Meats Manager,M,2008,ACTIVE
1351,2006-12-31,1989-10-02,2009-03-09,57,17,"Director, Compensation",M,2006,ACTIVE
1351,2007-12-31,1989-10-02,2009-03-09,58,18,"Director, Compensation",M,2007,ACTIVE
1351,2008-12-31,1989-10-02,2009-03-09,59,19,"Director, Compensation",M,2008,ACTIVE
1352,2006-12-31,1989-10-03,2014-03-11,57,17,Corporate Lawyer,F,2006,ACTIVE
1352,2007-12-31,1989-10-03,2014-03-11,58,18,Corporate Lawyer,F,2007,ACTIVE
1352,2008-12-31,1989-10-03,2014-03-11,59,19,Corporate Lawyer,F,2008,ACTIVE
1352,2009-12-31,1989-10-03,2014-03-11,60,20,Corporate Lawyer,F,2009,ACTIVE
1352,2010-12-31,1989-10-03,2014-03-11,61,21,Corporate Lawyer,F,2010,ACTIVE
1352,2011-12-31,1989-10-03,2014-03-11,62,22,Corporate Lawyer,F,2011,ACTIVE
1352,2012-12-31,1989-10-03,2014-03-11,63,23,Corporate Lawyer,F,2012,ACTIVE
1352,2013-12-31,1989-10-03,2014-03-11,64,24,Corporate Lawyer,F,2013,ACTIVE
1353,2006-12-31,1989-10-04,2009-03-13,57,17,Store Manager,M,2006,ACTIVE
1353,2007-12-31,1989-10-04,2009-03-13,58,18,Store Manager,M,2007,ACTIVE
1353,2008-12-31,1989-10-04,2009-03-13,59,19,Store Manager,M,2008,ACTIVE
1355,2006-12-31,1989-10-05,2009-03-15,57,17,Corporate Lawyer,M,2006,ACTIVE
1355,2007-12-31,1989-10-05,2009-03-15,58,18,Corporate Lawyer,M,2007,ACTIVE
1355,2008-12-31,1989-10-05,2009-03-15,59,19,Corporate Lawyer,M,2008,ACTIVE
1357,2006-12-31,1989-10-05,2009-03-14,57,17,Corporate Lawyer,M,2006,ACTIVE
1357,2007-12-31,1989-10-05,2009-03-14,58,18,Corporate Lawyer,M,2007,ACTIVE
1357,2008-12-31,1989-10-05,2009-03-14,59,19,Corporate Lawyer,M,2008,ACTIVE
1358,2006-12-31,1989-10-05,2009-03-14,57,17,Produce Manager,M,2006,ACTIVE
1358,2007-12-31,1989-10-05,2009-03-14,58,18,Produce Manager,M,2007,ACTIVE
1358,2008-12-31,1989-10-05,2009-03-14,59,19,Produce Manager,M,2008,ACTIVE
1359,2006-12-31,1989-10-06,2014-03-16,57,17,Meats Manager,F,2006,ACTIVE
1359,2007-12-31,1989-10-06,2014-03-16,58,18,Meats Manager,F,2007,ACTIVE
1359,2008-12-31,1989-10-06,2014-03-16,59,19,Meats Manager,F,2008,ACTIVE
1359,2009-12-31,1989-10-06,2014-03-16,60,20,Meats Manager,F,2009,ACTIVE
1359,2010-12-31,1989-10-06,2014-03-16,61,21,Meats Manager,F,2010,ACTIVE
1359,2011-12-31,1989-10-06,2014-03-16,62,22,Meats Manager,F,2011,ACTIVE
1359,2012-12-31,1989-10-06,2014-03-16,63,23,Meats Manager,F,2012,ACTIVE
1359,2013-12-31,1989-10-06,2014-03-16,64,24,Meats Manager,F,2013,ACTIVE
1360,2006-12-31,1989-10-06,2014-03-17,57,17,"Director, Accounts Receivable",F,2006,ACTIVE
1360,2007-12-31,1989-10-06,2014-03-17,58,18,"Director, Accounts Receivable",F,2007,ACTIVE
1360,2008-12-31,1989-10-06,2014-03-17,59,19,"Director, Accounts Receivable",F,2008,ACTIVE
1360,2009-12-31,1989-10-06,2014-03-17,60,20,"Director, Accounts Receivable",F,2009,ACTIVE
1360,2010-12-31,1989-10-06,2014-03-17,61,21,"Director, Accounts Receivable",F,2010,ACTIVE
1360,2011-12-31,1989-10-06,2014-03-17,62,22,"Director, Accounts Receivable",F,2011,ACTIVE
1360,2012-12-31,1989-10-06,2014-03-17,63,23,"Director, Accounts Receivable",F,2012,ACTIVE
1360,2013-12-31,1989-10-06,2014-03-17,64,24,"Director, Accounts Receivable",F,2013,ACTIVE
1362,2006-12-31,1989-10-07,2014-03-18,57,17,Meats Manager,F,2006,ACTIVE
1362,2007-12-31,1989-10-07,2014-03-18,58,18,Meats Manager,F,2007,ACTIVE
1362,2008-12-31,1989-10-07,2014-03-18,59,19,Meats Manager,F,2008,ACTIVE
1362,2009-12-31,1989-10-07,2014-03-18,60,20,Meats Manager,F,2009,ACTIVE
1362,2010-12-31,1989-10-07,2014-03-18,61,21,Meats Manager,F,2010,ACTIVE
1362,2011-12-31,1989-10-07,2014-03-18,62,22,Meats Manager,F,2011,ACTIVE
1362,2012-12-31,1989-10-07,2014-03-18,63,23,Meats Manager,F,2012,ACTIVE
1362,2013-12-31,1989-10-07,2014-03-18,64,24,Meats Manager,F,2013,ACTIVE
1363,2006-12-31,1989-10-08,2009-03-20,57,17,Bakery Manager,M,2006,ACTIVE
1363,2007-12-31,1989-10-08,2009-03-20,58,18,Bakery Manager,M,2007,ACTIVE
1363,2008-12-31,1989-10-08,2009-03-20,59,19,Bakery Manager,M,2008,ACTIVE
1365,2006-12-31,1989-10-10,2012-09-26,57,17,Store Manager,F,2006,ACTIVE
1365,2007-12-31,1989-10-10,2012-09-26,58,18,Store Manager,F,2007,ACTIVE
1365,2008-12-31,1989-10-10,2012-09-26,59,19,Store Manager,F,2008,ACTIVE
1365,2009-12-31,1989-10-10,2012-09-26,60,20,Store Manager,F,2009,ACTIVE
1365,2010-12-31,1989-10-10,2012-09-26,61,21,Store Manager,F,2010,ACTIVE
1365,2011-12-31,1989-10-10,2012-09-26,62,22,Store Manager,F,2011,ACTIVE
1366,2006-12-31,1989-10-11,2009-03-26,57,17,Systems Analyst,M,2006,ACTIVE
1366,2007-12-31,1989-10-11,2009-03-26,58,18,Systems Analyst,M,2007,ACTIVE
1366,2008-12-31,1989-10-11,2009-03-26,59,19,Systems Analyst,M,2008,ACTIVE
1367,2006-12-31,1989-10-11,2009-03-27,57,17,Store Manager,M,2006,ACTIVE
1367,2007-12-31,1989-10-11,2009-03-27,58,18,Store Manager,M,2007,ACTIVE
1367,2008-12-31,1989-10-11,2009-03-27,59,19,Store Manager,M,2008,ACTIVE
1370,2006-12-31,1989-10-14,2014-04-01,57,17,"Director, Accounts Payable",F,2006,ACTIVE
1370,2007-12-31,1989-10-14,2014-04-01,58,18,"Director, Accounts Payable",F,2007,ACTIVE
1370,2008-12-31,1989-10-14,2014-04-01,59,19,"Director, Accounts Payable",F,2008,ACTIVE
1370,2009-12-31,1989-10-14,2014-04-01,60,20,"Director, Accounts Payable",F,2009,ACTIVE
1370,2010-12-31,1989-10-14,2014-04-01,61,21,"Director, Accounts Payable",F,2010,ACTIVE
1370,2011-12-31,1989-10-14,2014-04-01,62,22,"Director, Accounts Payable",F,2011,ACTIVE
1370,2012-12-31,1989-10-14,2014-04-01,63,23,"Director, Accounts Payable",F,2012,ACTIVE
1370,2013-12-31,1989-10-14,2014-04-01,64,24,"Director, Accounts Payable",F,2013,ACTIVE
1372,2006-12-31,1989-10-16,2009-04-05,57,17,"Director, Audit",M,2006,ACTIVE
1372,2007-12-31,1989-10-16,2009-04-05,58,18,"Director, Audit",M,2007,ACTIVE
1372,2008-12-31,1989-10-16,2009-04-05,59,19,"Director, Audit",M,2008,ACTIVE
1373,2006-12-31,1989-10-16,2014-04-04,57,17,"Director, Accounting",F,2006,ACTIVE
1373,2007-12-31,1989-10-16,2014-04-04,58,18,"Director, Accounting",F,2007,ACTIVE
1373,2008-12-31,1989-10-16,2014-04-04,59,19,"Director, Accounting",F,2008,ACTIVE
1373,2009-12-31,1989-10-16,2014-04-04,60,20,"Director, Accounting",F,2009,ACTIVE
1373,2010-12-31,1989-10-16,2014-04-04,61,21,"Director, Accounting",F,2010,ACTIVE
1373,2011-12-31,1989-10-16,2014-04-04,62,22,"Director, Accounting",F,2011,ACTIVE
1373,2012-12-31,1989-10-16,2014-04-04,63,23,"Director, Accounting",F,2012,ACTIVE
1373,2013-12-31,1989-10-16,2014-04-04,64,24,"Director, Accounting",F,2013,ACTIVE
1374,2006-12-31,1989-10-17,2009-04-06,57,17,Meats Manager,M,2006,ACTIVE
1374,2007-12-31,1989-10-17,2009-04-06,58,18,Meats Manager,M,2007,ACTIVE
1374,2008-12-31,1989-10-17,2009-04-06,59,19,Meats Manager,M,2008,ACTIVE
1376,2006-12-31,1989-10-19,2009-04-11,57,17,"Director, Investments",M,2006,ACTIVE
1376,2007-12-31,1989-10-19,2009-04-11,58,18,"Director, Investments",M,2007,ACTIVE
1376,2008-12-31,1989-10-19,2009-04-11,59,19,"Director, Investments",M,2008,ACTIVE
1377,2006-12-31,1989-10-22,2014-04-15,57,17,Dairy Person,F,2006,ACTIVE
1377,2007-12-31,1989-10-22,2014-04-15,58,18,Dairy Person,F,2007,ACTIVE
1377,2008-12-31,1989-10-22,2014-04-15,59,19,Dairy Person,F,2008,ACTIVE
1377,2009-12-31,1989-10-22,2014-04-15,60,20,Dairy Person,F,2009,ACTIVE
1377,2010-12-31,1989-10-22,2014-04-15,61,21,Dairy Person,F,2010,ACTIVE
1377,2011-12-31,1989-10-22,2014-04-15,62,22,Dairy Person,F,2011,ACTIVE
1377,2012-12-31,1989-10-22,2014-04-15,63,23,Dairy Person,F,2012,ACTIVE
1377,2013-12-31,1989-10-22,2014-04-15,64,24,Dairy Person,F,2013,ACTIVE
1380,2006-12-31,1989-10-22,2014-04-15,57,17,Recruiter,F,2006,ACTIVE
1380,2007-12-31,1989-10-22,2014-04-15,58,18,Recruiter,F,2007,ACTIVE
1380,2008-12-31,1989-10-22,2014-04-15,59,19,Recruiter,F,2008,ACTIVE
1380,2009-12-31,1989-10-22,2014-04-15,60,20,Recruiter,F,2009,ACTIVE
1380,2010-12-31,1989-10-22,2014-04-15,61,21,Recruiter,F,2010,ACTIVE
1380,2011-12-31,1989-10-22,2014-04-15,62,22,Recruiter,F,2011,ACTIVE
1380,2012-12-31,1989-10-22,2014-04-15,63,23,Recruiter,F,2012,ACTIVE
1380,2013-12-31,1989-10-22,2014-04-15,64,24,Recruiter,F,2013,ACTIVE
1381,2006-12-31,1989-10-23,2014-04-17,57,17,Recruiter,F,2006,ACTIVE
1381,2007-12-31,1989-10-23,2014-04-17,58,18,Recruiter,F,2007,ACTIVE
1381,2008-12-31,1989-10-23,2014-04-17,59,19,Recruiter,F,2008,ACTIVE
1381,2009-12-31,1989-10-23,2014-04-17,60,20,Recruiter,F,2009,ACTIVE
1381,2010-12-31,1989-10-23,2014-04-17,61,21,Recruiter,F,2010,ACTIVE
1381,2011-12-31,1989-10-23,2014-04-17,62,22,Recruiter,F,2011,ACTIVE
1381,2012-12-31,1989-10-23,2014-04-17,63,23,Recruiter,F,2012,ACTIVE
1381,2013-12-31,1989-10-23,2014-04-17,64,24,Recruiter,F,2013,ACTIVE
1382,2006-12-31,1989-10-24,2014-04-20,57,17,Recruiter,F,2006,ACTIVE
1382,2007-12-31,1989-10-24,2014-04-20,58,18,Recruiter,F,2007,ACTIVE
1382,2008-12-31,1989-10-24,2014-04-20,59,19,Recruiter,F,2008,ACTIVE
1382,2009-12-31,1989-10-24,2014-04-20,60,20,Recruiter,F,2009,ACTIVE
1382,2010-12-31,1989-10-24,2014-04-20,61,21,Recruiter,F,2010,ACTIVE
1382,2011-12-31,1989-10-24,2014-04-20,62,22,Recruiter,F,2011,ACTIVE
1382,2012-12-31,1989-10-24,2014-04-20,63,23,Recruiter,F,2012,ACTIVE
1382,2013-12-31,1989-10-24,2014-04-20,64,24,Recruiter,F,2013,ACTIVE
